#       RADIUS         OMEGA_H            NU_H         SIGMA_D          VC_TOT            VC_B            NU_B      PSIMAJ_TOT           PSI''
#
   2.1499999      0.29932702      0.32576403      0.80366701E-01  0.97303867      0.44557139      0.20802501      -1.5787050     -0.20075792    
   2.1599998      0.29827738      0.32447028      0.79567038E-01  0.97307462      0.44451645      0.20656300      -1.5743012     -0.19918764    
   2.1699998      0.29723620      0.32325017      0.78775331E-01  0.97312444      0.44349760      0.20513099      -1.5699369     -0.19765963    
   2.1800001      0.29620096      0.32203805      0.77991486E-01  0.97315395      0.44245750      0.20370848      -1.5655731     -0.19613162    
   2.1900001      0.29517406      0.32080510      0.77215463E-01  0.97319704      0.44145268      0.20231505      -1.5612485     -0.19464655    
   2.2000000      0.29415292      0.31958020      0.76447152E-01  0.97322017      0.44042704      0.20091866      -1.5569241     -0.19316149    
   2.2100000      0.29313993      0.31839624      0.75686492E-01  0.97325659      0.43943593      0.19955046      -1.5526377     -0.19170795    
   2.2200000      0.29213259      0.31721979      0.74933402E-01  0.97327328      0.43842444      0.19817927      -1.5483519     -0.19025443    
   2.2300000      0.29113317      0.31602266      0.74187800E-01  0.97330308      0.43744668      0.19685367      -1.5441040     -0.18885110    
   2.2400000      0.29013929      0.31486344      0.73449619E-01  0.97331339      0.43644905      0.19551890      -1.5398556     -0.18744777    
   2.2500000      0.28915316      0.31365356      0.72718784E-01  0.97333646      0.43548435      0.19421658      -1.5356451     -0.18607049    
   2.2600000      0.28817242      0.31248137      0.71995221E-01  0.97334039      0.43450022      0.19291118      -1.5314347     -0.18469317    
   2.2700000      0.28719929      0.31134838      0.71278855E-01  0.97335690      0.43354833      0.19163740      -1.5272609     -0.18335533    
   2.2800000      0.28623143      0.31019285      0.70569620E-01  0.97335452      0.43257743      0.19036046      -1.5230873     -0.18201749    
   2.2900000      0.28527102      0.30901718      0.69867447E-01  0.97336447      0.43163806      0.18910231      -1.5189503     -0.18071346    
   2.3000000      0.28431571      0.30793673      0.69172248E-01  0.97335577      0.43068004      0.18787093      -1.5148127     -0.17940946    
   2.3099999      0.28336772      0.30680659      0.68483971E-01  0.97335911      0.42975289      0.18664564      -1.5107113     -0.17813370    
   2.3199999      0.28242475      0.30568337      0.67802541E-01  0.97334421      0.42880753      0.18542901      -1.5066098     -0.17685796    
